genre|artist name|song name|danceability|energy|speechiness|tempo
indie|The Killers|Mr. Brightside|0.33|0.936|0.0917|148.112
indie|Oasis|Wonderwall|0.372|0.865|0.0381|174.53
indie|Franz Ferdinand|Take Me Out|0.278|0.676|0.0371|104.545
indie|The Killers|Somebody Told Me|0.5|0.975|0.0824|138.005
indie|Coldplay|Clocks|0.577|0.749|0.0279|130.969
indie|Coldplay|Viva la Vida|0.485|0.619|0.0289|138.017
indie|Radiohead|Karma Police|0.36|0.505|0.026|74.807
indie|Radiohead|Creep|0.515|0.43|0.0369|91.841
indie|Coldplay|The Scientist|0.56|0.442|0.0243|146.448
indie|MGMT|Kids|0.451|0.931|0.0719|122.961
indie|Coldplay|Yellow|0.429|0.661|0.0281|173.365
indie|Coldplay|Fix You|0.209|0.418|0.0338|138.265
indie|Blur|Song 2|0.674|0.789|0.0676|129.804
indie|Kings of Leon|Sex on Fire|0.542|0.905|0.054|153.398
indie|The White Stripes|Seven Nation Army|0.737|0.463|0.0792|123.881
indie|Gorillaz|Feel Good Inc.|0.818|0.705|0.177|138.559
indie|MGMT|Time to Pretend|0.438|0.94|0.0452|100.99
indie|MGMT|Electric Feel|0.763|0.807|0.035|103.038
indie|Snow Patrol|Chasing Cars|0.557|0.609|0.0259|104.01
indie|The Killers|When You Were Young|0.463|0.983|0.138|130.394
indie|Muse|Supermassive Black Hole|0.668|0.921|0.0439|120.0
indie|Muse|Starlight|0.55|0.874|0.0321|121.61
indie|Kings of Leon|Use Somebody|0.276|0.715|0.0432|137.028
indie|Radiohead|Paranoid Android|0.252|0.849|0.0581|163.704
indie|Radiohead|No Surprises|0.255|0.393|0.0278|76.426
indie|Muse|Time Is Running Out|0.585|0.842|0.0556|118.211
indie|The Killers|All These Things That I've Done|0.558|0.74|0.0448|118.293
indie|Arctic Monkeys|I Bet You Look Good on the Dancefloor|0.535|0.948|0.0356|103.183
indie|Gorillaz|Clint Eastwood|0.663|0.694|0.172|167.964
indie|The Strokes|Reptilia|0.486|0.666|0.033|157.992
indie|The Killers|Smile Like You Mean It|0.378|0.979|0.133|125.1
indie|Foster the People|Pumped Up Kicks|0.733|0.71|0.0292|127.975
indie|Death Cab for Cutie|I Will Follow You Into The Dark|0.517|0.206|0.0421|80.401
indie|Muse|Hysteria|0.412|0.92|0.0575|93.162
indie|R.E.M.|Losing My Religion|0.671|0.849|0.0284|125.613
indie|Coldplay|Don't Panic|0.602|0.612|0.0335|122.062
indie|The Postal Service|Such Great Heights|0.653|0.818|0.047|174.984
indie|The Fray|How to Save a Life|0.64|0.743|0.0379|122.035
indie|Pixies|Where Is My Mind?|0.523|0.442|0.0347|81.083
indie|Coldplay|In My Place|0.425|0.587|0.0278|144.642
indie|The Verve|Bitter Sweet Symphony|0.356|0.915|0.0458|171.166
indie|Coldplay|Trouble|0.561|0.547|0.0321|139.755
indie|M.I.A.|Paper Planes|0.457|0.854|0.265|172.231
indie|Modest Mouse|Float On|0.649|0.888|0.0293|100.975
indie|Vampire Weekend|A-Punk|0.548|0.816|0.0499|174.993
indie|Florence + the Machine|Dog Days Are Over|0.504|0.812|0.0911|150.11
indie|Joy Division|Love Will Tear Us Apart|0.525|0.902|0.0368|146.83
indie|The Strokes|Someday|0.538|0.52|0.0299|106.031
indie|Coldplay|Speed of Sound|0.523|0.898|0.0567|123.085
indie|The Kooks|Naïve|0.547|0.816|0.0624|102.765
pop|Gorillaz|DARE|0.76|0.891|0.0372|120.265
pop|Amy Winehouse|You Know I'm No Good|0.695|0.809|0.0327|103.447
pop|Michael Jackson|Thriller|0.777|0.817|0.0464|118.407
pop|Gotye|Somebody That I Used To Know|0.857|0.517|0.0384|129.063
pop|Coldplay|Violet Hill|0.345|0.581|0.0369|76.022
pop|U2|With or Without You|0.543|0.432|0.0288|110.196
pop|The Cure|Friday I'm in Love|0.526|0.762|0.0342|136.203
pop|Lady Gaga|Just Dance|0.822|0.753|0.0332|118.982
pop|The Beatles|Come Together|0.533|0.376|0.0393|165.007
pop|The Killers|Read My Mind|0.54|0.902|0.0408|132.276
rap|Kanye West|Stronger|0.625|0.726|0.155|103.98
rap|Gorillaz|Clint Eastwood|0.663|0.694|0.172|167.964
rap|Lil' Wayne|Lollipop|0.828|0.433|0.199|148.073
rap|Drake|Best I Ever Had|0.427|0.861|0.376|161.776
rap|Kanye West|Heartless|0.789|0.65|0.121|87.983
rap|50 Cent|In Da Club|0.865|0.73|0.373|90.096
rap|Eminem|Lose Yourself|0.698|0.732|0.266|171.431
rap|T.I.|Whatever You Like|0.68|0.687|0.0709|150.053
rap|OutKast|Ms. Jackson|0.843|0.805|0.269|94.946
rap|Jay-Z|99 Problems|0.547|0.951|0.151|95.031
rap|OutKast|Hey Ya!|0.728|0.974|0.0665|79.526
rap|Dr. Dre|Still D.R.E.|0.821|0.774|0.235|93.425
rap|Ice Cube|It Was A Good Day|0.796|0.748|0.126|82.384
