artist|song|acousticness|danceability|energy|speechiness|tempo|valence
Dirty Projectors|Stillness Is the Move|0.109|0.569|0.542|0.134|76.309|0.53
Dirty Projectors|Cannibal Resource|0.427|0.557|0.829|0.0707|77.181|0.613
Dirty Projectors|Two Doves|0.94|0.435|0.278|0.0318|80.543|0.472
Dirty Projectors|Gun Has No Trigger|0.668|0.681|0.672|0.0455|101.128|0.339
Dirty Projectors|Temecula Sunrise|0.572|0.404|0.499|0.0365|131.484|0.644
Dirty Projectors|No Intention|0.343|0.578|0.665|0.0355|79.864|0.577
Dirty Projectors|Swing Lo Magellan|0.825|0.738|0.366|0.0324|101.031|0.507
Dirty Projectors|The Bride|0.118|0.394|0.445|0.0282|94.734|0.379
Dirty Projectors|Useful Chamber|0.051|0.338|0.509|0.0411|96.984|0.359
Dirty Projectors|About to Die|0.402|0.725|0.64|0.223|82.558|0.781
Vampire Weekend|A-Punk|0.0104|0.548|0.816|0.0499|174.993|0.857
Vampire Weekend|Oxford Comma|0.114|0.694|0.711|0.0517|119.516|0.974
Vampire Weekend|Cape Cod Kwassa Kwassa|0.832|0.852|0.518|0.0413|105.058|0.794
Vampire Weekend|Mansard Roof|0.365|0.536|0.7|0.141|165.406|0.714
Vampire Weekend|Campus|0.224|0.524|0.709|0.0632|108.68|0.584
Vampire Weekend|White Sky|0.112|0.785|0.692|0.0776|102.019|0.944
Vampire Weekend|Horchata|0.0803|0.834|0.787|0.14|119.976|0.837
Vampire Weekend|Walcott|0.541|0.482|0.559|0.0296|80.777|0.597
Vampire Weekend|Cousins|0.00123|0.499|0.809|0.206|176.11|0.808
Valerie June|Workin' Woman Blues|0.3|0.582|0.575|0.0298|123.18|0.564
Valerie June|Wanna Be On Your Mind|0.258|0.628|0.55|0.0287|75.42|0.779
Valerie June|Somebody To Love|0.989|0.53|0.182|0.0309|124.329|0.104
Valerie June|The Hour|0.518|0.388|0.482|0.0283|176.39|0.31
Valerie June|Twined & Twisted|0.882|0.484|0.151|0.0335|176.325|0.315
Valerie June|You Can't Be Told|0.493|0.659|0.727|0.0332|127.601|0.674
Valerie June|ASTRAL PLANE|0.801|0.305|0.264|0.0408|172.984|0.208
Valerie June|Tennessee Time|0.508|0.546|0.339|0.0278|83.428|0.18
Valerie June|Trials, Troubles, Tribulations|0.975|0.433|0.174|0.0302|160.89|0.0835
Valerie June|Shotgun|0.896|0.199|0.302|0.0403|81.635|0.0792
